,timestamp,open,high,low,close,volume
0,1636837200000,64359.30000000,64391.43000000,64113.00000000,64365.82000000,580.99379000
1,1636840800000,64365.82000000,64418.97000000,64116.00000000,64275.24000000,572.08908000
2,1636844400000,64275.24000000,64550.50000000,64220.70000000,64380.00000000,473.40227000
3,1636848000000,64380.01000000,65320.00000000,64380.00000000,64974.06000000,2003.82749000
4,1636851600000,64974.05000000,65079.99000000,64616.17000000,64789.04000000,807.45372000
5,1636855200000,64789.04000000,64925.07000000,64611.11000000,64629.99000000,639.41547000
6,1636858800000,64629.98000000,64838.60000000,64530.61000000,64637.81000000,733.63741000
7,1636862400000,64637.81000000,65014.79000000,64636.79000000,64748.66000000,650.54381000
8,1636866000000,64748.65000000,65046.52000000,64400.00000000,64898.40000000,1038.73314000
9,1636869600000,64898.39000000,65201.72000000,64700.00000000,64800.01000000,989.53371000
10,1636873200000,64800.01000000,64887.42000000,64439.73000000,64627.58000000,999.35912000
11,1636876800000,64627.58000000,64800.00000000,64056.00000000,64301.70000000,1272.25739000
12,1636880400000,64301.70000000,64400.15000000,64100.00000000,64251.49000000,813.42171000
13,1636884000000,64251.49000000,64500.00000000,64186.23000000,64380.11000000,762.60173000
14,1636887600000,64380.11000000,64478.69000000,64162.48000000,64445.07000000,776.88486000
15,1636891200000,64445.07000000,64758.76000000,64235.84000000,64600.52000000,892.72065000
16,1636894800000,64600.51000000,64799.00000000,64499.90000000,64630.66000000,856.55006000
17,1636898400000,64630.66000000,64662.66000000,64148.27000000,64354.39000000,1031.53443000
18,1636902000000,64354.39000000,64354.39000000,64000.00000000,64070.41000000,924.99579000
19,1636905600000,64070.41000000,64211.00000000,63576.27000000,63705.58000000,1772.99450000
20,1636909200000,63705.58000000,64240.00000000,63601.81000000,64192.28000000,1246.64911000
21,1636912800000,64188.62000000,64422.35000000,63830.00000000,64028.34000000,961.11469000
22,1636916400000,64028.34000000,64209.07000000,63872.46000000,64170.00000000,895.51018000
23,1636920000000,64169.99000000,64500.00000000,64040.47000000,64221.78000000,993.10978000
24,1636923600000,64221.78000000,64500.00000000,64050.00000000,64308.59000000,780.83326000
25,1636927200000,64308.58000000,64900.00000000,64284.79000000,64520.00000000,1044.80130000
26,1636930800000,64520.01000000,65550.51000000,64341.77000000,65519.10000000,2816.59016000
