,timestamp,open,high,low,close,volume
0,1636974900000,4728.27000000,4730.28000000,4716.28000000,4718.69000000,2519.52900000
1,1636975800000,4718.68000000,4728.36000000,4712.38000000,4725.57000000,1952.19820000
2,1636976700000,4725.57000000,4725.57000000,4717.01000000,4723.00000000,1623.13920000
3,1636977600000,4723.00000000,4740.00000000,4716.62000000,4720.33000000,4764.96070000
4,1636978500000,4720.33000000,4731.63000000,4705.00000000,4720.36000000,2747.81600000
5,1636979400000,4720.36000000,4736.00000000,4718.45000000,4732.61000000,3411.51190000
6,1636980300000,4732.62000000,4750.00000000,4730.11000000,4740.43000000,9816.05060000
7,1636981200000,4740.43000000,4772.01000000,4740.00000000,4769.66000000,16394.36240000
8,1636982100000,4769.66000000,4770.01000000,4743.81000000,4744.33000000,4873.24080000
9,1636983000000,4744.33000000,4750.00000000,4715.59000000,4721.58000000,6146.83640000
10,1636983900000,4721.67000000,4728.01000000,4714.00000000,4724.03000000,3541.07340000
11,1636984800000,4724.03000000,4724.04000000,4687.45000000,4696.19000000,8394.74950000
12,1636985700000,4696.20000000,4699.42000000,4677.99000000,4693.36000000,6126.40960000
13,1636986600000,4693.36000000,4704.98000000,4690.29000000,4697.70000000,2603.37800000
14,1636987500000,4697.70000000,4697.70000000,4677.03000000,4683.39000000,3103.75910000
15,1636988400000,4683.39000000,4686.76000000,4632.85000000,4653.60000000,26687.72110000
16,1636989300000,4653.60000000,4658.00000000,4643.69000000,4654.22000000,2936.26040000
17,1636990200000,4654.21000000,4665.00000000,4642.00000000,4642.01000000,3679.40540000
18,1636991100000,4642.01000000,4660.00000000,4628.82000000,4648.08000000,6802.83070000
19,1636992000000,4648.08000000,4659.90000000,4629.25000000,4633.92000000,4417.31120000
20,1636992900000,4633.92000000,4644.73000000,4610.79000000,4615.58000000,6344.71200000
21,1636993800000,4615.58000000,4637.32000000,4607.24000000,4607.50000000,6562.30600000
22,1636994700000,4607.49000000,4615.74000000,4596.82000000,4615.74000000,5727.38530000
